Date,Company Name,Company Ticker,ceoRating,ceoRatingSize,upMgmtRating,upMgmtRatingSize,overallRating,overallRatingSize,Price,PriceMA10,PriceMA14
2020/10/25,Accenture,ACN,0.919546,27786,3.32598,48503,3.86758,65895,224.837128,224.1052471796538,223.73900305884234
2020/9/27,Accenture,ACN,0.920372,27786,3.30038,48503,3.85902,65895,209.266739,223.0275159449855,225.00156267074675
2022/7/31,Activision Blizzard,ATVI,0.313373,127,3.00283,211,3.40876,275,79.949997,79.18343353536537,78.89936893106943
2022/7/24,Activision Blizzard,ATVI,0.313348,127,3.00355,211,3.40975,275,79.230003,78.29064547115324,78.07112680793023
2022/6/19,Activision Blizzard,ATVI,0.317292,127,3.04038,211,3.40153,275,74.709999,75.66151485179319,76.0517938810207
2022/5/22,Activision Blizzard,ATVI,0.330485,127,3.06144,211,3.42437,275,77.400002,77.77170589623917,77.81537485293435
2022/4/17,Activision Blizzard,ATVI,0.332123,127,3.13675,211,3.42823,275,78.930000,79.32829954102898,79.39003984261507
2022/3/20,Activision Blizzard,ATVI,0.320207,127,3.13734,211,3.46979,275,78.294609,79.2671449829047,79.48273342487359
2022/2/20,Activision Blizzard,ATVI,0.373137,127,3.15128,211,3.53334,275,80.571083,80.34201240218387,79.80971006288264
2022/1/23,Activision Blizzard,ATVI,0.416378,127,3.11163,211,3.56374,275,80.869301,73.81518345053821,71.81186490562733
2021/12/19,Activision Blizzard,ATVI,0.402045,127,3.04267,211,3.60436,275,60.997425,59.7108519422621,59.91342628446313
2021/11/21,Activision Blizzard,ATVI,0.424015,127,3.07974,211,3.5544,275,62.011398,66.05682702253577,67.39494171259494
2021/10/24,Activision Blizzard,ATVI,0.428836,127,3.08987,211,3.52655,275,78.801590,77.06546573542666,76.87982558150034
2021/9/19,Activision Blizzard,ATVI,0.47582,127,3.07143,211,3.54403,275,79.089882,78.9286257307712,79.31860673005085
2021/8/22,Activision Blizzard,ATVI,0.531926,127,3.12926,211,3.54839,275,82.141739,82.84034823564966,83.19575719560294
2021/7/18,Activision Blizzard,ATVI,0.537494,127,3.21453,211,3.6189,275,91.257561,91.99230631018688,92.2940659655981
2021/6/20,Activision Blizzard,ATVI,0.538843,127,3.16762,211,3.59176,275,90.949387,94.53766646342136,94.81520593945247
2021/5/23,Activision Blizzard,ATVI,0.492641,127,3.04646,211,3.49448,275,94.806465,93.60266872262997,93.34015885820426
2021/4/18,Activision Blizzard,ATVI,0.503941,127,2.95942,211,3.52051,275,95.909904,95.51902143550896,95.04285423330015
